"YEAR","JURISDICTION","Month","Sum(FINES)"
2023,"ACT",8,5151
2023,"ACT",6,5469
2023,"ACT",7,5605
2023,"ACT",11,5762
2023,"ACT",9,5769
2023,"ACT",10,5851
2023,"ACT",5,5991
2023,"ACT",12,6141
2023,"ACT",2,6237
2023,"ACT",4,6413
2023,"ACT",3,6509
2023,"ACT",1,7063
2023,"NSW",1,62905
2023,"NSW",2,64924
2023,"NSW",4,65013
2023,"NSW",7,67507
2023,"NSW",6,72079
2023,"NSW",5,73755
2023,"NSW",10,75754
2023,"NSW",9,76126
2023,"NSW",8,77244
2023,"NSW",11,80789
2023,"NSW",3,81163
2023,"NSW",12,84224
2023,"NT",11,2735
2023,"NT",2,2884
2023,"NT",1,2925
2023,"NT",3,3008
2023,"NT",4,3052
2023,"NT",10,3325
2023,"NT",8,3754
2023,"NT",9,3840
2023,"NT",6,3861
2023,"NT",5,4056
2023,"NT",7,4195
2023,"NT",12,5671
2023,"QLD",1,860626
2023,"SA",12,13697
2023,"SA",4,15310
2023,"SA",7,16225
2023,"SA",10,16765
2023,"SA",9,16994
2023,"SA",2,17137
2023,"SA",5,17179
2023,"SA",6,17272
2023,"SA",8,17644
2023,"SA",11,17875
2023,"SA",1,18066
2023,"SA",3,19438
2023,"TAS",3,4372
2023,"TAS",4,4521
2023,"TAS",9,4622
2023,"TAS",2,4736
2023,"TAS",6,5172
2023,"TAS",8,5361
2023,"TAS",12,5489
2023,"TAS",5,5499
2023,"TAS",7,5533
2023,"TAS",10,6206
2023,"TAS",11,6596
2023,"TAS",1,6933
2023,"VIC",2,98938
2023,"VIC",5,101169
2023,"VIC",4,101421
2023,"VIC",6,102311
2023,"VIC",7,104860
2023,"VIC",9,106716
2023,"VIC",8,108419
2023,"VIC",10,108964
2023,"VIC",3,109088
2023,"VIC",11,118700
2023,"VIC",1,119221
2023,"VIC",12,122821
2023,"WA",6,52719
2023,"WA",5,60655
2023,"WA",1,64178
2023,"WA",11,65103
2023,"WA",3,65964
2023,"WA",4,67142
2023,"WA",12,68935
2023,"WA",7,69859
2023,"WA",2,70687
2023,"WA",9,71523
2023,"WA",8,74505
2023,"WA",10,76217
2024,"ACT",6,4248
2024,"ACT",7,4659
2024,"ACT",9,5435
2024,"ACT",10,5463
2024,"ACT",8,5469
2024,"ACT",4,5674
2024,"ACT",5,5998
2024,"ACT",12,6019
2024,"ACT",11,6053
2024,"ACT",1,6150
2024,"ACT",2,6251
2024,"ACT",3,7427
2024,"NSW",1,64424
2024,"NSW",2,67824
2024,"NSW",4,68122
2024,"NSW",10,72135
2024,"NSW",6,75305
2024,"NSW",9,76638
2024,"NSW",7,76913
2024,"NSW",3,77788
2024,"NSW",5,78818
2024,"NSW",11,79953
2024,"NSW",8,80241
2024,"NSW",12,87511
2024,"NT",5,2946
2024,"NT",6,2957
2024,"NT",11,3378
2024,"NT",9,3552
2024,"NT",7,3651
2024,"NT",12,3652
2024,"NT",4,3880
2024,"NT",8,4174
2024,"NT",10,4343
2024,"NT",2,4987
2024,"NT",1,5000
2024,"NT",3,5535
2024,"QLD",4,60494
2024,"QLD",2,64173
2024,"QLD",9,64623
2024,"QLD",11,65052
2024,"QLD",1,65403
2024,"QLD",8,66252
2024,"QLD",7,66461
2024,"QLD",5,66565
2024,"QLD",10,66794
2024,"QLD",3,67284
2024,"QLD",6,69567
2024,"QLD",12,72215
2024,"SA",9,13270
2024,"SA",6,13566
2024,"SA",5,14617
2024,"SA",8,14762
2024,"SA",7,14852
2024,"SA",4,15370
2024,"SA",11,15565
2024,"SA",1,16191
2024,"SA",2,16285
2024,"SA",10,16337
2024,"SA",3,16665
2024,"SA",12,17101
2024,"TAS",6,4982
2024,"TAS",3,5153
2024,"TAS",7,5372
2024,"TAS",2,5568
2024,"TAS",9,6001
2024,"TAS",8,6062
2024,"TAS",4,6231
2024,"TAS",5,6261
2024,"TAS",10,6569
2024,"TAS",11,7415
2024,"TAS",1,7435
2024,"TAS",12,7944
2024,"VIC",10,2558
2024,"VIC",11,2674
2024,"VIC",12,3009
2024,"VIC",9,57460
2024,"VIC",6,76357
2024,"VIC",3,80872
2024,"VIC",8,85342
2024,"VIC",4,88145
2024,"VIC",5,91291
2024,"VIC",2,91639
2024,"VIC",7,91737
2024,"VIC",1,102386
2024,"WA",12,5
2024,"WA",11,61
2024,"WA",10,2525
2024,"WA",9,6430
2024,"WA",6,53258
2024,"WA",7,54187
2024,"WA",8,57478
2024,"WA",2,57755
2024,"WA",5,58810
2024,"WA",4,59628
2024,"WA",1,60570
2024,"WA",3,62126
