"YEAR","JURISDICTION","Camera_offence_per10k","Police_offence_per10k","Camera_Percentage","Police_Percentage"
2018,"NSW",804,429,65.2,34.8
2018,"NT",1757,624,73.8,26.2
2018,"QLD",2350,442,84.2,15.8
2018,"WA",2901,584,83.2,16.8
2019,"NSW",789,386,67.2,32.8
2019,"NT",1740,786,68.9,31.1
2019,"QLD",2386,417,85.1,14.9
2019,"WA",2916,514,85,15
2020,"NSW",1252,368,77.3,22.7
2020,"NT",2097,503,80.7,19.3
2020,"QLD",2047,346,85.5,14.5
2020,"TAS",134,871,13.3,86.7
2020,"WA",2924,492,85.6,14.4
2021,"NSW",2204,311,87.6,12.4
2021,"NT",2010,418,82.8,17.2
2021,"QLD",2226,292,88.4,11.6
2021,"TAS",102,840,10.8,89.2
2021,"WA",3535,360,90.8,9.2
2022,"NSW",1767,276,86.5,13.5
2022,"NT",1722,393,81.4,18.6
2022,"QLD",1956,182,91.5,8.5
2022,"SA",1184,216,84.6,15.4
2022,"TAS",331,678,32.8,67.2
2022,"VIC",2527,247,91.1,8.9
2022,"WA",3735,326,92,8
2023,"ACT",2042,65,96.9,3.1
2023,"NSW",1169,293,79.9,20.1
2023,"NT",2470,229,91.5,8.5
2023,"QLD",1835,289,86.4,13.6
2023,"SA",1159,363,76.2,23.8
2023,"TAS",1066,470,69.4,30.6
2023,"VIC",2307,248,90.3,9.7
2023,"WA",3553,239,93.7,6.3
2024,"ACT",1899,83,95.8,4.2
2024,"NSW",1166,306,79.2,20.8
2024,"NT",2711,230,92.2,7.8
2024,"QLD",1643,270,85.9,14.1
2024,"SA",956,402,70.4,29.6
2024,"TAS",1277,476,72.8,27.2
2024,"VIC",1266,205,86.1,13.9
2024,"WA",1897,257,88.1,11.9
