YEAR,JURISDICTION,AGE_GROUP,Sum(FINES),Sum(ARRESTS),Sum(CHARGES),Licence Holders
2010,ACT,All ages,58705,0,0,287134
2010,NSW,All ages,390746,0,0,2037055
2010,NT,All ages,26775,0,0,132561
2010,QLD,All ages,440622,0,0,3132341
2010,SA,All ages,91335,0,0,1130920
2010,TAS,All ages,37376,0,0,363291
2010,VIC,All ages,1172460,0,0,3978322
2010,WA,All ages,300344,0,0,1566465
2011,ACT,All ages,56719,0,0,294174
2011,NSW,All ages,389649,0,0,2066073
2011,NT,All ages,24633,0,0,133035
2011,QLD,All ages,588714,0,0,3240939
2011,SA,All ages,61859,0,0,1138713
2011,TAS,All ages,24427,0,0,367296
2011,VIC,All ages,1151555,0,0,4060582
2011,WA,All ages,558552,0,0,1605793
2012,ACT,All ages,54201,0,0,301841
2012,NSW,All ages,432586,0,0,2082150
2012,NT,All ages,27730,0,0,138077
2012,QLD,All ages,653679,0,0,3301004
2012,SA,All ages,54773,0,0,1151821
2012,TAS,All ages,7410,0,0,365359
2012,VIC,All ages,1185037,0,0,4135725
2012,WA,All ages,588746,0,0,1623226
2013,ACT,All ages,51948,0,0,307834
2013,NSW,All ages,426904,0,0,2091672
2013,NT,All ages,24536,0,0,146404
2013,QLD,All ages,762905,0,0,3374824
2013,SA,All ages,74391,0,0,1183292
2013,TAS,All ages,7517,0,0,365295
2013,VIC,All ages,1015986,0,0,4228230
2013,WA,All ages,543491,0,0,1854446
2014,ACT,All ages,45120,0,0,314244
2014,NSW,All ages,468465,0,0,2112614
2014,NT,All ages,22871,0,0,150653
2014,QLD,All ages,1004090,0,0,3384271
2014,SA,All ages,100562,0,0,1196554
2014,TAS,All ages,9250,0,0,366231
2014,VIC,All ages,1307924,0,0,4310687
2014,WA,All ages,711518,0,0,1896560
2015,ACT,All ages,50640,0,0,312267
2015,NSW,All ages,486571,0,0,2151555
2015,NT,All ages,24928,0,0,152268
2015,QLD,All ages,1076622,0,0,3432170
2015,SA,All ages,85282,0,0,1206194
2015,TAS,All ages,15220,0,0,370296
2015,VIC,All ages,1306201,0,0,4384609
2015,WA,All ages,752276,0,0,1928430
2016,ACT,All ages,55750,0,0,328377
2016,NSW,All ages,494676,0,0,2186962
2016,NT,All ages,22239,0,0,154405
2016,QLD,All ages,659305,0,0,3505706
2016,SA,All ages,182856,0,0,1229167
2016,TAS,All ages,15977,0,0,379305
2016,VIC,All ages,1266642,0,0,4474502
2016,WA,All ages,567954,0,0,1952879
2017,ACT,All ages,52913,0,0,324439
2017,NSW,All ages,731953,0,0,2228765
2017,NT,All ages,22556,0,0,156344
2017,QLD,All ages,733717,0,0,3580836
2017,SA,All ages,162804,0,0,1232106
2017,TAS,All ages,13095,0,0,380215
2017,VIC,All ages,1220180,0,0,4565595
2017,WA,All ages,754183,0,0,1965031
2018,ACT,All ages,66449,0,0,330574
2018,NSW,All ages,681389,0,0,2264293
2018,NT,All ages,37452,0,0,157296
2018,QLD,All ages,1021423,0,0,3657643
2018,SA,All ages,174731,0,0,1246015
2018,TAS,All ages,8609,0,0,387773
2018,VIC,All ages,1600565,0,0,4665764
2018,WA,All ages,689198,0,0,1977775
2019,ACT,All ages,59330,0,0,329637
2019,NSW,All ages,658793,0,0,2292440
2019,NT,All ages,39500,0,0,156344
2019,QLD,All ages,1041780,0,0,3719766
2019,SA,All ages,202914,0,0,1258216
2019,TAS,All ages,6738,0,0,398452
2019,VIC,All ages,1004679,0,0,4748539
2019,WA,All ages,682996,0,0,1992380
2020,ACT,All ages,57612,0,0,326495
2020,NSW,All ages,915316,0,0,2308816
2020,NT,All ages,40921,0,0,157831
2020,QLD,All ages,910858,0,0,3806397
2020,SA,All ages,175237,0,0,1271948
2020,TAS,All ages,40751,0,0,406437
2020,VIC,All ages,937192,0,0,4807706
2020,WA,All ages,695586,0,0,2013336
2021,ACT,All ages,113807,0,0,326454
2021,NSW,All ages,1452620,0,0,2355756
2021,NT,All ages,38648,0,0,159208
2021,QLD,All ages,978926,0,0,3888986
2021,SA,All ages,202693,0,0,1294479
2021,TAS,All ages,39228,0,0,416263
2021,VIC,All ages,1231672,0,0,4895143
2021,WA,All ages,809544,0,0,2036282
2022,NSW,All ages,1217596,0,0,2389710
2022,NT,All ages,33642,0,0,159063
2022,QLD,All ages,849399,0,0,3973138
2022,SA,All ages,186196,0,0,1329139
2022,TAS,All ages,42737,0,0,423676
2022,VIC,All ages,1378231,0,0,4968836
2022,WA,All ages,843541,0,0,2078263
2023,ACT,0-16,58,0,0,4600.75
2023,ACT,17-25,9007,0,0,45719.25
2023,ACT,26-39,19950,0,0,100772
2023,ACT,40-64,31836,0,0,133512.5
2023,ACT,65 and over,9925,0,0,56815.5
2023,NSW,0-16,127,0,36,45107
2023,NSW,17-25,43780,0,600,80091.5
2023,NSW,26-39,60280,0,519,779153.7
2023,NSW,40-64,59426,0,230,1522379.8
2023,NSW,65 and over,12036,0,8,
2023,NT,0-16,57,0,1,2019.5
2023,NT,17-25,5649,12,62,23120.5
2023,NT,26-39,14283,24,99,52578
2023,NT,40-64,17659,0,0,63381
2023,NT,65 and over,4188,8,52,20262
2023,SA,0-16,21,8,1,17072.5
2023,SA,17-25,24364,27,69,170104.1
2023,SA,26-39,56350,32,109,320033.4
2023,SA,40-64,90037,34,97,529484.5
2023,SA,65 and over,28380,1,6,303365.5
