Jurisdiction,Year,Age_Group,Licence_Holders
ACT,2010,0-16,4432.25
ACT,2010,17-25,48112.35
ACT,2010,26-39,84027.4
ACT,2010,40-64,115209.5
ACT,2010,65+,35352.5
ACT,2011,0-16,4432.0
ACT,2011,17-25,48879.0
ACT,2011,26-39,85789.0
ACT,2011,40-64,117789.5
ACT,2011,65+,37284.5
ACT,2012,0-16,4367.0
ACT,2012,17-25,49368.2
ACT,2012,26-39,88291.8
ACT,2012,40-64,120357.5
ACT,2012,65+,39456.5
ACT,2013,0-16,4222.75
ACT,2013,17-25,49194.05
ACT,2013,26-39,90301.2
ACT,2013,40-64,122635.5
ACT,2013,65+,41480.5
ACT,2014,0-16,4162.75
ACT,2014,17-25,48788.85
ACT,2014,26-39,91947.4
ACT,2014,40-64,125719.5
ACT,2014,65+,43625.5
ACT,2015,0-16,4201.25
ACT,2015,17-25,48758.35
ACT,2015,26-39,91542.4
ACT,2015,40-64,124379.5
ACT,2015,65+,43385.5
ACT,2016,0-16,4305.25
ACT,2016,17-25,47300.35
ACT,2016,26-39,97035.4
ACT,2016,40-64,130651.0
ACT,2016,65+,49085.0
ACT,2017,0-16,4241.75
ACT,2017,17-25,48016.05
ACT,2017,26-39,97003.2
ACT,2017,40-64,128193.5
ACT,2017,65+,46984.5
ACT,2018,0-16,4156.0
ACT,2018,17-25,47826.2
ACT,2018,26-39,99823.8
ACT,2018,40-64,129896.0
ACT,2018,65+,48872.0
ACT,2019,0-16,4118.25
ACT,2019,17-25,46538.15
ACT,2019,26-39,98968.6
ACT,2019,40-64,129603.5
ACT,2019,65+,50408.5
ACT,2020,0-16,3699.5
ACT,2020,17-25,43709.7
ACT,2020,26-39,97883.8
ACT,2020,40-64,129173.0
ACT,2020,65+,52029.0
ACT,2021,0-16,2911.5
ACT,2021,17-25,40240.9
ACT,2021,26-39,98604.6
ACT,2021,40-64,130751.5
ACT,2021,65+,53945.5
ACT,2022,0-16,4341.0
ACT,2022,17-25,45202.8
ACT,2022,26-39,100007.2
ACT,2022,40-64,130842.0
ACT,2022,65+,54507.0
ACT,2023,0-16,4600.75
ACT,2023,17-25,45719.25
ACT,2023,26-39,100772.0
ACT,2023,40-64,133512.5
ACT,2023,65+,56815.5
ACT,2024,0-16,4766.5
ACT,2024,17-25,45677.3
ACT,2024,26-39,100885.2
ACT,2024,40-64,136757.5
ACT,2024,65+,59805.5
NSW,2010,0-16,70125.5
NSW,2010,17-25,671713.1
NSW,2010,26-39,1254857.4
NSW,2010,40-64,2062167.0
NSW,2010,65+,732627.0
NSW,2011,0-16,70461.5
NSW,2011,17-25,686881.5
NSW,2011,26-39,1268006.0
NSW,2011,40-64,2104935.5
NSW,2011,65+,763403.5
NSW,2012,0-16,70626.0
NSW,2012,17-25,697325.2
NSW,2012,26-39,1273108.8
NSW,2012,40-64,2147692.5
NSW,2012,65+,796220.5
NSW,2013,0-16,70903.25
NSW,2013,17-25,699856.35
NSW,2013,26-39,1279457.4
NSW,2013,40-64,2182393.0
NSW,2013,65+,828152.0
NSW,2014,0-16,71258.25
NSW,2014,17-25,703039.75
NSW,2014,26-39,1296496.0
NSW,2014,40-64,2210790.0
NSW,2014,65+,860812.0
NSW,2015,0-16,71701.0
NSW,2015,17-25,710956.8
NSW,2015,26-39,1326712.2
NSW,2015,40-64,2242810.5
NSW,2015,65+,893574.5
NSW,2016,0-16,72365.75
NSW,2016,17-25,716048.85
NSW,2016,26-39,1355996.4
NSW,2016,40-64,2265555.5
NSW,2016,65+,927980.5
NSW,2017,0-16,72865.5
NSW,2017,17-25,723161.3
NSW,2017,26-39,1389822.2
NSW,2017,40-64,2283028.5
NSW,2017,65+,970833.5
NSW,2018,0-16,73961.75
NSW,2018,17-25,729755.45
NSW,2018,26-39,1417294.8
NSW,2018,40-64,2298629.0
NSW,2018,65+,1009544.0
NSW,2019,0-16,73811.5
NSW,2019,17-25,733121.9
NSW,2019,26-39,1441860.6
NSW,2019,40-64,2313181.0
NSW,2019,65+,1044200.0
NSW,2020,0-16,73739.0
NSW,2020,17-25,734204.8
NSW,2020,26-39,1456860.2
NSW,2020,40-64,2322832.0
NSW,2020,65+,1060691.0
NSW,2021,0-16,75453.75
NSW,2021,17-25,749477.05
NSW,2021,26-39,1486448.2
NSW,2021,40-64,2351942.5
NSW,2021,65+,1112567.5
NSW,2022,0-16,76977.0
NSW,2022,17-25,761272.6
