"YEAR","JURISDICTION","AGE_GROUP","Sum(FINES)","Licence_Holders","Infractions_per_10000"
2010,"ACT","All ages",58705,287134,2045
2011,"ACT","All ages",56719,294174,1928
2012,"ACT","All ages",54201,301841,1796
2013,"ACT","All ages",51948,307834,1688
2014,"ACT","All ages",45120,314244,1436
2015,"ACT","All ages",50640,312267,1622
2016,"ACT","All ages",55750,328377,1698
2017,"ACT","All ages",52913,324439,1631
2018,"ACT","All ages",66449,330574,2010
2019,"ACT","All ages",59330,329637,1800
2020,"ACT","All ages",57612,326495,1765
2021,"ACT","All ages",113807,326454,3486
2023,"ACT","0-16",58,4601,126
2023,"ACT","17-25",9007,45719,1970
2023,"ACT","26-39",19950,100772,1980
2023,"ACT","40-64",31836,133512,2384
2023,"ACT","65+",9925,56816,1747
2024,"ACT","0-16",43,4766,90
2024,"ACT","17-25",9191,45677,2012
2024,"ACT","26-39",19746,100885,1957
2024,"ACT","40-64",29478,136758,2155
2024,"ACT","65+",8971,59806,1500
2010,"NT","All ages",26775,132561,2020
2011,"NT","All ages",24633,133035,1852
2012,"NT","All ages",27730,138077,2008
2013,"NT","All ages",24536,146404,1676
2014,"NT","All ages",22871,150653,1518
2015,"NT","All ages",24928,152268,1637
2016,"NT","All ages",22239,154405,1440
2017,"NT","All ages",22556,156344,1443
2018,"NT","All ages",37452,157296,2381
2019,"NT","All ages",39500,156344,2526
2020,"NT","All ages",40921,157831,2593
2021,"NT","All ages",38648,159208,2428
2022,"NT","All ages",33642,159063,2115
2023,"NT","0-16",57,2020,282
2023,"NT","17-25",5649,23120,2443
2023,"NT","26-39",14283,52578,2717
2023,"NT","40-64",17659,63381,2786
2023,"NT","65+",4188,20262,2067
2024,"NT","0-16",59,2082,283
2024,"NT","17-25",6042,23831,2535
2024,"NT","26-39",15904,52684,3019
2024,"NT","40-64",20023,63680,3144
2024,"NT","65+",4350,21138,2058
2010,"TAS","All ages",37376,363291,1029
2011,"TAS","All ages",24427,367296,665
2012,"TAS","All ages",7410,365359,203
2013,"TAS","All ages",7517,365295,206
2014,"TAS","All ages",9250,366231,253
2015,"TAS","All ages",15220,370296,411
2016,"TAS","All ages",15977,379305,421
2017,"TAS","All ages",13095,380215,344
2018,"TAS","All ages",8609,387773,222
2019,"TAS","All ages",6738,398452,169
2020,"TAS","All ages",40751,406437,1003
2021,"TAS","All ages",39228,416263,942
2022,"TAS","All ages",42737,423676,1009
2023,"TAS","0-16",18,5384,33
2023,"TAS","17-25",9407,51006,1844
2023,"TAS","26-39",20286,98701,2055
2023,"TAS","40-64",26326,164821,1597
2023,"TAS","65+",8968,106617,841
2024,"TAS","0-16",8,5642,14
2024,"TAS","17-25",10397,51279,2028
2024,"TAS","26-39",22615,98808,2289
2024,"TAS","40-64",30484,164834,1849
2024,"TAS","65+",11468,109302,1049
2010,"WA","All ages",300344,1566465,1917
2011,"WA","All ages",558552,1605793,3478
2012,"WA","All ages",588746,1623226,3627
2013,"WA","All ages",543491,1854446,2931
2014,"WA","All ages",711518,1896560,3752
2015,"WA","All ages",752276,1928430,3901
2016,"WA","All ages",567954,1952879,2908
2017,"WA","All ages",754183,1965031,3838
2018,"WA","All ages",689198,1977775,3485
2019,"WA","All ages",682996,1992380,3428
2020,"WA","All ages",695586,2013336,3455
2021,"WA","All ages",809544,2036282,3976
2022,"WA","All ages",843541,2078263,4059
2023,"WA","0-16",34,28520,12
2023,"WA","17-25",95909,282054,3400
2023,"WA","26-39",246081,558293,4408
2023,"WA","40-64",373492,856088,4363
2023,"WA","65+",91599,407302,2249
2024,"WA","0-16",1153,29886,386
2024,"WA","17-25",57592,292292,1970
2024,"WA","26-39",144596,576363,2509
2024,"WA","40-64",215275,873442,2465
2024,"WA","65+",54217,422832,1282
2010,"SA","All ages",91335,1130920,808
2011,"SA","All ages",61859,1138713,543
2012,"SA","All ages",54773,1151821,476
2013,"SA","All ages",74391,1183292,629
2014,"SA","All ages",100562,1196554,840
2015,"SA","All ages",85282,1206194,707
2016,"SA","All ages",182856,1229167,1488
2017,"SA","All ages",162804,1232106,1321
2018,"SA","All ages",174731,1246015,1402
2019,"SA","All ages",202914,1258216,1613
2020,"SA","All ages",175237,1271948,1378
2021,"SA","All ages",202693,1294479,1566
2022,"SA","All ages",186196,1329139,1401
2023,"SA","0-16",21,17072,12
2023,"SA","17-25",24364,170104,1432
2023,"SA","26-39",56350,320033,1761
2023,"SA","40-64",90037,529484,1700
2023,"SA","65+",28380,303366,936
2024,"SA","0-16",37,17773,21
2024,"SA","17-25",22830,173253,1318
2024,"SA","26-39",50588,325154,1556
2024,"SA","40-64",79759,534305,1493
2024,"SA","65+",27441,312063,879
2010,"QLD","All ages",440622,3132341,1407
2011,"QLD","All ages",588714,3240939,1816
2012,"QLD","All ages",653679,3301004,1980
2013,"QLD","All ages",762905,3374824,2261
2014,"QLD","All ages",1004090,3384271,2967
2015,"QLD","All ages",1076622,3432170,3137
2016,"QLD","All ages",659305,3505706,1881
2017,"QLD","All ages",733717,3580836,2049
2018,"QLD","All ages",1021423,3657643,2793
2019,"QLD","All ages",1041780,3719766,2801
2020,"QLD","All ages",910858,3806397,2393
2021,"QLD","All ages",978926,3888986,2517
2022,"QLD","All ages",849399,3973138,2138
2024,"QLD","0-16",18147,60642,2993
2024,"QLD","17-25",121629,564852,2153
2024,"QLD","26-39",237465,1013391,2343
2024,"QLD","40-64",330434,1668204,1981
2024,"QLD","65+",84968,847864,1002
2010,"VIC","All ages",1172460,3978322,2947
2011,"VIC","All ages",1151555,4060582,2836
2012,"VIC","All ages",1185037,4135725,2865
2013,"VIC","All ages",1015986,4228230,2403
2014,"VIC","All ages",1307924,4310687,3034
2015,"VIC","All ages",1306201,4384609,2979
2016,"VIC","All ages",1266642,4474502,2831
2017,"VIC","All ages",1220180,4565595,2673
2018,"VIC","All ages",1600565,4665764,3430
2019,"VIC","All ages",1004679,4748539,2116
2020,"VIC","All ages",937192,4807706,1949
2021,"VIC","All ages",1231672,4895143,2516
2022,"VIC","All ages",1378231,4968836,2774
2023,"VIC","0-16",15,60789,2
2023,"VIC","17-25",93157,648872,1436
2023,"VIC","26-39",312408,1383734,2258
2023,"VIC","40-64",492629,2011328,2449
2023,"VIC","65+",147705,993188,1487
2024,"VIC","0-16",31,63983,5
2024,"VIC","17-25",76099,679601,1120
2024,"VIC","26-39",226307,1434223,1578
2024,"VIC","40-64",350286,2053555,1706
2024,"VIC","65+",105907,1029046,1029
2010,"NSW","All ages",390746,4791490,815
2011,"NSW","All ages",389649,4893688,796
2012,"NSW","All ages",432586,4984973,868
2013,"NSW","All ages",426904,5060762,844
2014,"NSW","All ages",468465,5142396,911
2015,"NSW","All ages",486571,5245755,928
2016,"NSW","All ages",494676,5337947,927
2017,"NSW","All ages",731953,5439711,1346
2018,"NSW","All ages",681389,5529185,1232
2019,"NSW","All ages",658793,5606175,1175
2020,"NSW","All ages",915316,5648327,1621
2021,"NSW","All ages",1452620,5775889,2515
2022,"NSW","All ages",1217596,5960216,2043
2023,"NSW","0-16",127,80092,16
2023,"NSW","17-25",43780,779154,562
2023,"NSW","26-39",60280,1522380,396
2023,"NSW","40-64",59426,2419128,246
2023,"NSW","65+",12036,1239604,97
2024,"NSW","0-16",164,83424,20
2024,"NSW","17-25",48125,804214,598
2024,"NSW","26-39",62707,1549921,405
2024,"NSW","40-64",62799,2450279,256
2024,"NSW","65+",13071,1278389,102
